Time	CFP	YFP	
Seconds	mV	mV	
			
0	3044,62	3116,65
1	3061,10	3056,22
2	3006,98	3091,21
3	3071,07	3070,87
4	3052,76	3071,27
5	3070,87	3071,68
6	3008,40	3049,30
7	3041,57	3071,07
8	3061,10	3084,91
9	3053,37	3065,58
10	3031,19	3072,29
11	3017,15	3072,90
12	3055,81	3059,68
13	3036,48	3071,07
14	3030,78	3057,44
15	3042,38	3066,59
16	2979,92	3072,70
17	3013,49	3069,65
18	3035,87	3059,27
19	3022,24	3087,75
20	3026,92	3057,23
21	3014,71	3059,07
22	3021,42	3065,07
23	2986,63	3075,55
24	3018,58	3070,66
25	3039,94	3085,52
26	3025,70	3062,52
27	3070,87	3092,84
28	3047,87	3081,85
29	3008,00	3067,81
30	3039,94	3078,80
31	3031,39	3061,71
32	3060,90	3079,82
33	3049,91	3092,84
34	3049,50	3068,22
35	3024,48	3058,66
36	3040,14	3058,86
37	3035,06	3087,55
38	3034,04	3028,34
39	3024,88	3021,83
40	3032,21	3055,81
41	3045,43	3065,58
42	3049,50	3068,83
43	3036,68	3076,05
44	3037,09	3062,12
45	3043,40	3059,07
46	3034,85	3074,32
47	3068,83	3050,72
48	3039,74	3057,64
49	3033,43	3074,12
50	3061,10	3078,19
51	3055,00	3079,41
52	3011,05	3081,85
53	3001,08	3073,92
54	2992,13	3071,68
55	3039,13	3070,05
56	3022,65	3073,92
57	3055,00	3075,55
58	3065,98	3049,71
59	3048,69	3053,37
60	3048,69	3069,03
61	3044,62	3064,97
62	3014,30	3061,10
63	3000,67	3092,23
64	3064,76	3067,20
65	3063,95	3070,26
66	3002,91	3090,60
67	3082,87	3103,01
68	3070,46	3094,67
69	3047,47	3087,35
70	3076,05	3076,97
71	3042,58	3086,74
72	2978,09	3081,04
73	3030,78	3093,25
74	3056,01	3086,53
75	3030,58	3072,90
76	3032,61	3050,11
77	3063,54	3086,74
78	3070,46	3073,92
79	3029,77	3096,30
80	3035,67	3068,42
81	3019,80	3094,67
82	3072,29	3077,17
83	3025,90	3074,53
84	3017,76	3102,61
85	3014,51	3081,65
86	3047,88	3071,48
87	3016,95	3088,57
88	3043,40	3095,08
89	3097,11	3066,19
90	3129,16	3043,09
91	3072,09	3074,12
92	3026,10	3070,26
93	2996,60	3079,21
94	2970,56	3073,71
95	3037,09	3049,91
96	3035,46	3094,26
97	3035,46	3066,59
98	3017,97	3065,37
99	3011,45	3065,58
100	3061,10	3084,29
101	3067,20	3072,90
102	3041,97	3096,91
103	3037,09	3079,21
104	3075,14	3078,80
105	3110,74	3073,10
106	3049,91	3088,57
107	3053,37	3080,23
108	3045,03	3096,91
109	3117,87	3076,36
110	3002,50	3067,20
111	3031,19	3058,45
112	3043,81	3071,48
113	3023,46	3084,91
114	3047,06	3071,07
115	3099,96	3070,26
116	3016,54	3068,02
117	3075,14	3092,84
118	3025,09	3072,70
119	3037,91	3068,63
120	3038,31	3072,29
121	3063,95	3069,03
122	3070,05	3079,61
123	3041,57	3108,10
124	3077,38	3099,96
125	3077,89	3102,30
126	3096,50	3144,72
127	3122,95	3096,71
128	3115,22	3074,12
129	3102,00	3114,41
130	3073,10	3152,25
131	3098,64	3142,28
132	3105,66	3119,70
133	3092,23	3102,81
134	3080,63	3095,69
135	3049,91	3083,68
136	3076,97	3084,09
137	3140,04	3163,03
138	3035,46	3348,90
139	1845,61	4493,68
140	1373,78	4804,37
141	1353,23	4802,54
142	1373,37	4810,27
143	1336,14	4789,92
144	1343,47	4773,24
145	1369,31	4779,96
146	1364,02	4788,30
147	1384,57	4766,73
148	1397,18	4769,58
149	1398,40	4750,25
150	1429,33	4729,09
151	1432,38	4687,38
152	1447,23	4642,31
153	1496,47	4650,15
154	1514,78	4598,67
155	1543,06	4566,73
156	1571,95	4532,54
157	1593,73	4488,39
158	1646,42	4467,03
159	1669,72	4444,24
160	1683,05	4406,19
161	1750,80	4378,93
162	1769,52	4388,29
163	1762,19	4327,86
164	1782,54	4303,85
165	1799,43	4292,25
166	1811,63	4294,09
167	1854,97	4293,88
168	1860,47	4276,18
169	1890,17	4240,37
170	1894,65	4230,81
171	1875,72	4224,30
172	1847,95	4213,51
173	1899,73	4223,28
174	1914,59	4206,19
175	1936,76	4197,03
176	1928,22	4177,30
177	1941,24	4166,72
178	1950,80	4166,21
179	1964,64	4150,44
180	1968,50	4159,80
181	1971,76	4152,07
182	1964,23	4122,77
183	1953,45	4105,27
184	1977,86	4081,67
185	1996,58	4098,15
186	1973,69	4086,55
187	1964,03	4081,06
188	1985,80	4092,45
189	1993,33	4080,45
190	1985,39	4098,96
191	2001,26	4142,30
192	2039,51	4180,96
193	2068,00	4136,30
194	2038,29	4070,07
195	2043,58	4076,18
196	2024,46	4080,25
197	2039,11	4056,44
198	2020,59	4073,33
199	2004,52	4051,15
200	2038,70	4056,44
201	2042,97	4066,61
202	2033,21	4062,75
203	2083,26	4048,71
204	2064,13	4085,54
205	2053,75	4085,54
206	2002,69	4082,28
207	2033,21	4049,12
208	2012,66	4052,57
209	2023,03	4040,57
210	2002,89	4044,64
211	2037,88	4065,80
212	2057,01	4073,73
213	2103,40	4050,85
214	2048,67	4036,09
215	2058,64	4031,62
216	2059,04	4048,10
217	2048,46	4047,69
218	2077,36	4010,05
219	2068,00	4024,90
220	2072,07	4023,07
221	2052,53	4017,38
222	2107,67	4025,72
223	2067,18	4016,77
224	2087,33	4010,66
225	2099,53	4021,85
226	2102,79	4015,14
227	2106,45	4005,57
228	2114,18	4012,29
229	2094,45	4001,71
230	2081,83	4006,80
231	2107,47	3993,77
232	2123,95	3990,93
233	2120,49	4006,90
234	2135,95	3990,11
235	2090,38	3975,06
236	2125,98	4000,49
237	2141,85	3996,01
238	2112,15	3987,06
239	2150,40	3971,60
240	2130,56	3987,98
241	2158,74	3977,50
242	2132,29	3982,99
243	2130,05	3986,25
244	2133,31	3996,01
245	2126,80	4008,63
246	2141,85	3996,62
247	2154,67	3949,83
248	2097,09	3951,86
249	2090,58	3954,71
250	2115,81	3994,38
251	2156,10	3995,81
252	2141,04	4005,98
253	2113,17	3998,96
254	2121,10	3976,89
255	2118,05	3995,61
256	2125,17	3967,53
257	2146,33	3972,00
258	2156,10	3968,54
259	2150,40	3976,28
260	2164,03	3996,22
261	2156,50	3958,98
262	2155,08	3951,45
263	2151,01	3964,27
264	2181,33	3943,52
265	2176,65	3952,88
266	2172,58	3938,64
267	2171,46	3894,28
268	2189,87	3905,06
269	2191,70	3902,22
270	2192,31	3904,45
271	2200,45	3911,37
272	2223,85	3892,04
273	2186,82	3901,40
274	2196,79	3905,27
275	2189,87	3901,81
276	2201,47	3938,43
277	2245,82	3913,81
278	2241,96	3915,03
279	2223,85	3909,74
280	2225,88	3892,25
281	2235,85	3885,43
282	2249,89	3874,34
283	2230,77	3844,64
284	2278,17	3847,69
