Time	CFP	YFP	
Seconds	mV	mV	
			
0	3012,27	3000,67
1	2961,81	3075,34
2	2983,99	3038,31
3	2903,62	3109,63
4	3109,73	3158,97
5	2979,71	3117,05
6	3067,20	3099,15
7	3058,45	3225,50
8	3007,39	3141,06
9	2911,76	3150,22
10	2852,35	3122,44
11	2928,24	3175,45
12	3014,71	3222,24
13	3078,39	3091,62
14	2999,25	3166,09
15	2986,43	3144,32
16	2946,14	3111,36
17	2961,81	3147,37
18	2899,04	3123,66
19	2929,66	3101,79
20	2983,17	3104,84
21	3005,35	3170,77
22	2868,22	3240,76
23	3024,07	3181,14
24	3065,68	3262,22
25	2967,30	3274,94
26	2922,95	3206,78
27	2835,87	3158,76
28	2888,97	3122,95
29	2911,35	3141,06
30	2872,79	3164,87
31	2802,91	3131,50
32	2863,33	3105,66
33	2895,28	3122,75
34	3020,61	3154,08
35	2938,62	3076,16
36	2925,39	3112,98
37	2958,55	3014,10
38	2868,22	3100,16
39	2865,78	3138,42
40	2856,01	3092,03
41	3002,10	3094,47
42	2938,21	3129,06
43	2999,04	3194,98
44	2924,37	3095,59
45	2957,94	3088,57
46	3082,06	3095,49
47	3010,03	3222,85
48	3009,83	3205,76
49	2919,29	3155,10
50	2853,16	3207,80
51	3043,40	3027,83
52	2889,58	3016,75
53	2800,06	3141,26
54	2867,61	3141,06
55	2879,81	3151,23
56	2836,27	3097,93
57	2904,84	3113,39
58	2829,15	3157,54
59	2842,99	3207,59
60	2924,17	3264,56
61	3107,69	3194,37
62	3051,74	3138,42
63	2847,87	3145,74
64	2988,67	3157,54
65	2774,22	3181,35
66	2963,23	3232,82
67	3114,20	3173,00
68	3055,40	3051,13
69	3005,35	3060,69
70	2993,75	3139,23
71	2853,57	3150,52
72	3029,56	3172,80
73	2917,46	3147,37
74	2951,43	3132,52
75	3017,76	3221,63
76	3005,15	3245,23
77	3009,83	3284,91
78	3047,98	3259,48
79	3038,31	3232,62
80	2967,10	3219,39
81	2911,15	3143,91
82	2903,01	3191,52
83	2964,46	3234,45
84	2935,97	3136,18
85	2985,11	3137,40
86	2959,17	3204,34
87	2995,79	3176,87
88	3042,58	3179,31
89	2952,65	3149,61
90	2916,23	3141,67
91	2889,78	3140,65
92	2967,10	3154,79
93	2923,97	3135,77
94	3014,91	3147,16
95	2868,83	3140,65
96	2865,17	3141,47
97	2895,07	3113,80
98	2996,40	3180,33
99	3058,66	3206,37
100	2962,22	3289,79
101	3118,07	3512,38
102	3204,34	3502,21
103	2882,46	3222,04
104	2809,62	3156,32
105	2930,48	3199,35
106	2909,11	3482,06
107	3102,61	3689,80
108	3355,92	3889,19
109	3405,16	4257,87
110	3509,94	4774,66
111	3663,15	4603,15
112	3510,96	4203,75
113	3553,28	4183,81
114	3426,11	4277,81
115	3502,00	4621,46
116	3478,20	4811,49
117	3588,07	4867,65
118	3236,28	4680,05
119	3087,35	4758,59
120	3283,89	4891,05
121	3218,78	4916,89
122	3229,16	4916,68
123	3268,02	5105,50
124	3186,03	4866,83
125	3095,28	4460,72
126	3075,95	4768,56
127	3240,55	5034,49
128	3186,84	4880,87
129	3243,61	5040,59
130	3133,94	5040,59
131	3135,36	4775,89
132	2943,29	3714,22
133	2954,08	3537,00
134	2807,38	3397,02
135	2984,80	3426,93
136	2903,82	3441,98
137	2822,44	3280,43
138	2864,76	3341,06
139	2945,13	3359,58
140	2801,07	3348,59
141	2779,51	3267,61
142	2912,17	3308,31
143	2972,59	3369,75
144	2834,65	3377,69
145	2894,87	3295,29
146	2933,83	3297,32
147	2934,95	3322,14
148	2936,58	3326,62
149	3042,18	3368,53
150	2938,00	3392,13
151	2831,19	3376,87
152	2899,96	3348,39
153	2866,39	3291,83
154	2869,84	3294,06
155	2883,07	3233,03
156	2955,50	3242,39
157	2913,59	3341,47
158	2854,38	3376,06
159	2959,78	3307,70
160	3011,35	3253,68
161	3020,41	3230,99
162	2818,17	3220,82
163	2753,87	3271,07
164	2916,64	3316,65
165	2960,79	3363,85
166	2967,10	3394,37
167	2991,92	3480,03
168	2862,72	3332,93
169	2843,80	3357,34
170	2864,96	3411,06
171	2781,34	3457,85
172	2750,82	3464,97
173	2841,36	3397,42
174	2813,49	3386,64
175	2863,54	3313,39
176	2863,33	3317,67
177	2881,65	3368,53
178	2606,77	3397,02
179	2814,10	3349,81
180	2830,07	3392,54
181	2812,26	3252,35
182	2847,87	3522,76
183	2907,89	3340,05
184	2840,95	3435,47
185	2910,33	3554,90
186	2806,57	3443,00
187	2810,54	3398,65
188	2857,23	3375,45
189	2812,47	3357,14
190	2785,41	3322,14
191	2888,36	3379,11
192	3065,17	3414,72
193	2919,90	3330,48
194	2863,33	3305,56
195	2773,40	3372,81
196	2906,88	3333,13
197	2858,04	3333,13
198	2804,33	3319,70
199	2760,79	3252,76
200	2926,20	3345,95
201	2974,12	3349,20
202	2885,31	3375,04
203	2836,88	3350,63
204	2946,55	3304,65
205	2861,30	3294,27
206	2861,30	3351,65
207	2938,00	3466,60
208	2891,72	3398,95
209	2946,14	3309,32
210	3020,61	3298,34
211	2908,91	3371,18
212	2833,02	3258,66
213	2910,33	3357,95
214	2895,07	3362,94
215	2777,27	3353,07
216	2864,15	3360,80
217	2981,55	3325,19
218	2928,65	3333,54
219	2713,18	3317,06
220	2890,80	3374,03
221	2891,72	3305,56
222	2845,63	3306,48
223	2902,20	3385,22
224	2920,91	3428,15
225	2956,32	3290,61
226	2980,94	3246,25
227	2964,86	3368,74
228	2930,78	3330,59
229	3002,91	3309,53
230	3019,19	3199,86
231	2969,54	3238,32
232	3083,48	3302,20
233	2979,31	3339,64
234	2766,89	3319,29
235	2906,26	3296,71
236	2994,77	3251,54
237	2977,68	3326,82
238	2884,70	3352,26
239	2920,10	3331,10
240	2925,80	3310,75
241	2984,80	3386,23
242	3090,40	3282,67
243	2968,12	3291,83
244	3008,20	3310,14
245	2892,63	3357,14
246	2916,23	3378,10
247	2978,70	3405,36
248	2968,93	3425,20
249	2863,33	3345,54
250	3044,42	3325,60
251	2884,49	3311,77
252	2905,04	3348,59
253	2968,93	3452,36
254	3030,58	3405,56
255	3030,58	3341,57
256	2964,25	3347,78
257	3013,29	3358,77
258	2969,34	3496,10
259	2983,78	3209,63
260	2947,77	3253,78
261	2951,84	3318,48
262	3065,37	3311,97
263	2938,62	3314,21
264	2858,04	3370,97
265	2933,53	3365,07
266	3049,10	3291,42
267	2950,21	3268,43
268	2860,28	3328,15
269	2941,06	3295,29
270	2974,42	3245,84
271	2941,06	3290,40
272	2857,43	3311,16
273	2910,13	3321,13
274	2951,84	3322,14
275	2898,13	3312,89
276	2845,02	3326,21
277	3016,75	3313,19
278	3051,13	3297,93
279	2877,98	3317,67
280	2830,37	3235,87
281	2927,83	3360,39
282	2941,16	3299,76
283	2937,39	3285,11
284	2916,03	3336,39
285	2874,52	3304,24
286	2963,44	3292,03
287	2915,62	3342,08
