Time	CFP	YFP	
Seconds	mV	mV	
			
231	2829,36	3081,45
232	2836,68	3101,79
233	2825,49	3088,57
234	2747,97	3035,87
235	2753,06	3075,75
236	2794,97	3125,39
237	2774,22	3094,87
238	2775,84	3090,40
239	2780,32	3085,11
240	2808,40	3017,15
241	2744,31	3044,62
242	2779,91	3092,03
243	2809,01	3130,48
244	2763,84	3056,83
245	2827,93	3062,52
246	2773,00	3055,00
247	2826,10	3070,87
248	2815,52	3070,26
249	2752,24	3008,00
250	2787,24	3038,92
251	2753,26	3060,29
252	2731,69	3095,49
253	2802,30	3111,76
254	2813,08	3115,42
255	2859,67	3036,28
256	2758,96	3067,81
257	2851,74	3081,85
258	2829,76	3043,81
259	2817,76	3135,16
260	2803,21	3050,72
261	2782,15	3071,07
262	2828,34	3086,53
263	2750,62	3113,59
264	2829,76	3130,07
265	2837,29	3097,93
266	2770,15	3065,58
267	2815,11	3053,78
268	2772,18	3101,59
269	2798,63	3081,24
270	2808,60	3063,34
271	2760,99	3088,97
272	2826,71	3096,91
273	2774,22	3058,35
274	2767,10	3003,32
275	2722,74	3087,55
276	2817,76	3079,41
277	2868,22	3095,69
278	2781,75	3095,69
279	2710,13	3072,09
280	2792,12	3063,54
281	2726,61	3011,05
282	2873,91	3055,40
283	2809,21	3120,71
284	2806,77	3076,36
285	2783,37	3103,83
286	2760,79	3101,79
287	2768,42	3059,27
288	2804,74	3064,36
289	2798,23	3145,13
290	2789,68	3133,33
291	2717,65	3059,07
292	2733,12	3122,34
293	2809,42	3109,32
294	2785,81	3168,53
295	2773,00	3066,80
296	2811,45	3100,57
297	2717,86	3117,87
298	2850,92	3151,03
299	2819,59	3124,99
300	2776,66	3195,39
301	2759,57	3087,55
302	2777,07	3100,37
303	2808,40	3093,04
304	2807,38	3107,69
305	2744,92	3140,86
306	2807,99	3106,88
307	2818,17	3057,74
308	2811,25	3069,03
309	2792,94	3190,30
310	2796,80	3109,93
311	2701,38	3164,26
312	2752,24	3096,30
313	2767,10	3140,86
314	2704,84	3101,39
315	2715,01	3120,92
316	2762,62	3118,48
317	2784,80	3108,91
318	2750,82	3139,03
319	2778,69	3148,39
320	2738,61	3138,01
321	2750,72	3116,34
322	2713,38	3133,74
323	2765,47	3131,70
324	2793,34	3127,43
325	2753,87	3174,63
326	2734,34	3152,45
327	2806,36	3132,92
328	2696,09	3114,81
329	2692,43	3158,15
330	2607,99	3187,86
331	2747,16	3135,16
332	2743,70	3110,54
333	2738,81	3131,29
334	2791,92	3168,22
335	2799,04	3137,81
336	2817,15	3116,44
337	2816,33	3122,34
338	2844,62	3134,75
339	2787,04	3116,03
340	2706,46	3158,76
341	2764,45	3163,24
342	2727,83	3156,32
343	2752,45	3138,42
344	2740,24	3137,81
345	2802,70	3147,57
346	2784,19	3150,42
347	2762,82	3196,00
348	2770,55	3133,74
349	2796,80	3125,19
350	2745,73	3132,31
351	2773,40	3129,06
352	2792,73	3092,64
353	2756,31	3100,78
354	2736,37	3115,42
355	2811,45	3111,15
356	2762,62	3143,91
357	2748,99	3179,31
358	2780,12	3202,10
359	2836,48	3205,76
360	2732,10	3147,37
361	2619,18	3153,88
362	2744,31	3134,35
363	2709,72	3117,46
364	2682,05	3116,85
365	2686,52	3168,94
366	2700,56	3190,50
367	2641,56	3146,76
368	2707,07	3153,88
369	2700,36	3192,33
