Time	CFP	YFP	
Seconds	mV	mV	
			
0	3018,98	2968,93
1	3033,43	3003,52
2	3111,36	3015,73
3	3106,88	2995,99
4	3079,41	2973,00
5	3129,16	2994,57
6	3108,51	3003,72
7	3040,96	3000,06
8	3061,91	3001,69
9	3070,05	2994,57
10	3123,97	3001,08
11	3110,95	2916,44
12	3069,65	2957,33
13	3076,77	2988,46
14	3086,53	3024,27
15	3085,52	3014,51
16	3047,87	2986,63
17	3044,82	3018,37
18	3054,39	3018,58
19	3077,89	3010,74
20	3074,73	3009,22
21	3091,01	2997,21
22	3060,49	2982,56
23	3076,16	2986,63
24	3102,61	3010,64
25	3059,68	2999,04
26	3053,78	2979,92
27	3059,27	3007,79
28	3073,71	3014,91
29	3025,90	2995,58
30	3059,27	3002,50
31	3087,96	2996,40
32	3072,90	2999,86
33	3126,41	2959,78
34	3052,96	2990,29
35	3122,34	3010,23
36	3103,42	3008,40
37	3069,24	3006,17
38	3059,47	3004,74
39	3074,12	3008,40
40	3068,73	2980,53
41	3093,25	2975,85
42	3032,41	2992,53
43	3037,91	2990,29
44	3054,39	3030,17
45	3034,65	3016,34
46	3072,09	2994,26
47	3084,91	3017,36
48	3046,86	3019,59
49	3051,33	3007,79
50	3080,02	3004,54
51	3073,51	2979,71
52	3075,75	3004,94
53	3044,92	3010,13
54	3046,45	3008,00
55	3077,78	2990,70
56	3028,34	3005,76
57	3075,14	3018,58
58	3059,07	2991,52
59	3009,42	3018,58
60	3047,06	2995,18
61	3027,33	2987,24
62	3044,01	2991,11
63	3024,68	3025,49
64	3050,32	2958,76
65	3058,86	2981,14
66	3062,93	3040,96
67	3051,33	3008,20
68	3092,43	2986,02
69	3069,65	2997,42
70	3055,00	3011,86
71	3028,14	3019,19
72	2981,14	2957,33
73	3016,24	2997,31
74	3022,65	2997,01
75	3020,00	2950,62
76	3064,76	2974,83
77	3069,44	3008,40
78	3036,28	3001,28
79	3037,70	3004,13
80	3018,17	2967,10
81	3085,21	2965,27
82	3028,34	2962,83
83	3018,37	2982,36
84	3003,72	2977,07
85	3030,78	2951,23
86	3084,70	2962,22
87	3025,09	2975,04
88	3061,71	2995,99
89	3080,02	3008,81
90	3034,24	2981,55
91	3038,52	2967,10
92	3004,13	3003,32
93	3044,42	2984,19
94	3051,03	2957,94
95	3065,17	2954,08
96	3044,42	2976,46
97	3035,46	2977,88
98	2989,07	2987,04
99	3022,65	2974,42
100	3037,29	2983,58
101	3040,96	2982,97
102	2991,52	2975,65
103	3043,81	2991,31
104	3001,89	2978,90
105	3045,03	3006,98
106	3042,18	2993,96
107	3029,56	3007,59
108	3017,46	2979,31
109	2980,33	2952,65
110	2993,75	2983,58
111	3080,84	3005,76
112	2916,44	3002,30
113	2952,04	2977,68
114	3008,00	2968,73
115	3030,89	2968,93
116	3013,90	2976,87
117	3034,04	2985,62
118	3056,83	2978,70
119	2998,23	2984,80
120	2983,58	2989,28
121	2989,68	2974,73
122	2924,98	2975,24
123	3031,60	2964,46
124	3029,97	2965,88
